ID,Distribution_ID,Text_Fragment,URL,Source,Potential EE (Solved Kappa),Duplicado,Relacionado,Main-Feature,Tipo da Melhoria,Classificação,,,,Distribution,#
DP1,D1,Components are now the recommended way to write your node. They can be used standalone as well as being composed within a process and both ways are fully support from launch files.,-,Documentation,Yes,,DP14,,"composition, node architecture",,,,D1,Dashing,35
DP2,D1,The intra-process communication (C++ only) has been improved - both in terms of latency as well as minimizing copies.,-,Documentation,Yes,,,,intreaprocess communication,,,,D2,Eloquent,85
DP3,D1,The Python client library has been updated to match most of the C++ equivalent and some important bug fixes and improvements have landed related to memory usage and performance,-,Documentation,Yes,,,,"python library optimization, c++ compatibility, memory management, performance",,,,D3,Foxy,70
DP4,D1,Parameters are now a complete alternative to dynamic_reconfigure from ROS 1 including constraints like ranges or being read-only.,-,Documentation,No,,,,,,,,D4,Galactic,33
DP5,D1,By relying on (a subset of) IDL 4.2 for the message generation pipeline it is now possible to use .idl files (beside .msg / .srv / .action files). {...},-,Documentation,No,,,,,,,,D5,Humble,54
DP6,D1,Command line tools related to actions and components,-,Documentation,No,,,,,,,,D6,Iron,53
DP7,D1,"Support for Deadline, Lifespan & Liveliness quality of service settings.",-,Documentation,Yes,,,,"node lifecycle, quality of service",,,,D7,Jazzy,49
DP8,D1,MoveIt 2 alpha release,-,Documentation,No,,,,,,,,,,
DP9,D1,"As of Dashing, parameters now need to be declared before being accessed or set.",-,Documentation,No,,,,,,,,,,
DP10,D1,The interface rclcpp::memory_strategy::MemoryStrategy was using the typedef WeakNodeVector in various method signatures. [...],-,Documentation,Yes,,,,memory management,,,,,,
DP11,D1,The correct way to implement composition in Dashing is by utilizing the rclcpp_components package.,-,Documentation,Yes,,,,"composition, node architecture",,,,,,
DP12,D1,Python server and client (also backported into Crystal),-,Main Meta-Ticket,No,,,,,,,,,,
DP13,D1,Migrate to IDL to specify ROS interfaces (Migrate to IDL rosidl#346),-,Main Meta-Ticket,No,,,,,,,,,,
DP14,D1,Python server and client (also backported into Crystal),-,Main Meta-Ticket,No,,,,,,,,,,
DP15,D1,Migrate to IDL to specify ROS interfaces (Migrate to IDL rosidl#346),https://github.com/ros2/rosidl/issues/346,Main Meta-Ticket,No,,,-,,,,,,,
DP16,D1,Change mapping of arrays / sequences in Python to numpy / array.array (map Arrays to numpy.ndarray() and Sequences to array.array() rosidl_python#35),https://github.com/ros2/rosidl_python/pull/35,Main Meta-Ticket,Yes,,,DP15,"python vector management, external libraries",,,,,,
DP17,D1,WString / unicode support (support for WString across all generators rosidl#352),-,Main Meta-Ticket,No,,,DP15,,,,,,,
