ID,Distribution_ID,Text_Fragment,,URL do PR,Source,Potential EE,Duplicado,Relacionado,Main-Feature,Tipo da Melhoria (final),,Class,#,,,,,,
DP1,D1,Components are now the recommended way to write your node. They can be used standalone as well as being composed within a process and both ways are fully support from launch files.,,-,Documentation,Yes,,DP14,,node architecture,,network communication,11,,,,,,
DP2,D1,The intra-process communication (C++ only) has been improved - both in terms of latency as well as minimizing copies.,,-,Documentation,Yes,,,,intreaprocess communication,,memory management,8,,,,,,
DP3,D1,The Python client library has been updated to match most of the C++ equivalent and some important bug fixes and improvements have landed related to memory usage and performance,,-,Documentation,Yes,,,,memory management,,log management,5,,,,,,
DP7,D1,"Support for Deadline, Lifespan & Liveliness quality of service settings.",,-,Documentation,Yes,,,,node lifecycle,,node architecture,3,,,,,,
DP10,D1,The interface rclcpp::memory_strategy::MemoryStrategy was using the typedef WeakNodeVector in various method signatures. [...],,-,Documentation,Yes,,,,memory management,,intreaprocess communication,3,,,,,,
DP11,D1,The correct way to implement composition in Dashing is by utilizing the rclcpp_components package.,,-,Documentation,Yes,,,,node architecture,,threading,3,,,,,,
DP16,D1,Change mapping of arrays / sequences in Python to numpy / array.array (map Arrays to numpy.ndarray() and Sequences to array.array() rosidl_python#35),,https://github.com/ros2/rosidl_python/pull/35,Main Meta-Ticket,Yes,,,DP11,data structure,,data visualization,3,,,,,,
DP18,D1,Improve intraprocess communication behavior (Improve intraprocess communication behavior #649),,https://github.com/ros2/ros2/issues/649,Main Meta-Ticket,Yes,,,DP2,intreaprocess communication,,environment launching,2,,,,,,
DP19,D1,Launch improvements for composable C++ nodes (Launch composable C++ nodes launch_ros#6),,https://github.com/ros2/launch_ros/issues/6,Main Meta-Ticket,Yes,,,,node architecture,,package improvement,2,,,,,,
DP26,D1,Improve memory management (Memory management improvements #590),,https://github.com/ros2/ros2/issues/590,Main Meta-Ticket,Yes,,,,memory management,,node lifecycle,1,,,,,,
DP27,D1,fix memory leak affecting rclpy (fix leak in __wait_set_clean_up rcl#418),,https://github.com/ros2/rcl/pull/418,Main Meta-Ticket,Yes,,,,memory management,,data structure,1,,,,,,
DP42,D1,The Python type for arrays/sequences of numeric values has been changed [...] ensures that each item in the array/sequence complies with the value range restrictions of the numeric type. The numeric values can be stored more efficiently in memory [...],,-,Documentation,Yes,,,,memory management,,additional package,1,,,,,,
DP45,D2,Static transform broadcasters and listeners now use QoS durability transient_local on the /tf_static topic,,-,Documentation,Yes,,,,network communication,,library switch,1,,,,,,
DP55,D2,"RMW implementations: ""API to loan message for zero copy, used by rmw_iceoryx""
""Fast RTPS 1.9.3""
""New Tier-2 implementation: rmw_cyclonedds (also backported to Dashing)""",,-,Documentation,Yes,,,,memory management,,,,,,,,,
DP56,D2,Environment variable ROS_LOCALHOST_ONLY to limit communication to localhost,,-,Documentation,Yes,,,,network communication,,,,,,,,,
DP80,D2,improve performance when setting up environment,,https://github.com/ros2/ros2/issues/764,Main Meta-Ticket,Yes,,,DP44,environment launching,,Class,D1,D2,D3,D4,D5,D6,D7
